num_trajs,fold,train_ll,test_ll
24.0,0.0,-0.0020721144309985722,-0.2499447261015463
24.0,1.0,-0.13015943339717984,-0.3329551693152557
24.0,2.0,-0.02190468626850693,-0.007566979191009615
24.0,3.0,-0.03196156685136427,-0.011470375841001674
24.0,4.0,-0.045065629446923876,-0.003327355678195649
124.0,0.0,-0.0012447869919478645,-0.001220016764099786
124.0,1.0,-0.0062280294342276854,-0.0018143224003643339
124.0,2.0,-0.027780031059231707,-0.007789347974877204
124.0,3.0,-0.016648904759583888,-0.17870419561497802
124.0,4.0,-0.01782450803208577,-0.033158245865508154
224.0,0.0,-0.002594524910005088,-0.09534213981673452
224.0,1.0,-0.028981725530057047,-0.015679596961381305
224.0,2.0,-0.01660573398547418,-0.005725478018589066
224.0,3.0,-0.009096069223327372,-0.07432526436369039
224.0,4.0,-0.021660582392951336,-0.023918260387319822
324.0,0.0,-0.0428322478296462,-0.041839117735881885
324.0,1.0,-0.019418637440376627,-0.02362587070084989
324.0,2.0,-0.013512688437719451,-0.04773573364074067
324.0,3.0,-0.014940310638746122,-0.0036566888669385656
324.0,4.0,-0.03628501846375534,-0.017858790641002053
424.0,0.0,-0.008664940177069754,-0.006840776262672745
424.0,1.0,-0.005798848436559374,-0.005326753190994797
424.0,2.0,-0.02939426846640499,-0.06719938643241863
424.0,3.0,-0.008016509737016597,-0.010316717279247758
424.0,4.0,-0.017816257679157673,-0.01692979062862469
524.0,0.0,-0.013046005789312708,-0.013255036552866176
524.0,1.0,-0.029373035366048707,-0.029905017278202814
524.0,2.0,-0.01769539550877705,-0.018965302025134207
524.0,3.0,-0.013692051359645378,-0.0422164724762709
524.0,4.0,-0.0067150951673016195,-0.004794074725107688
624.0,0.0,-0.00748268357440156,-0.01095978898191178
624.0,1.0,-0.05612454998345399,-0.11472970817576351
624.0,2.0,-0.01710562536383659,-0.023107447585976056
624.0,3.0,-0.00516578820287037,-0.0030949502534949936
624.0,4.0,-0.011005236114446473,-0.011731136134204394
724.0,0.0,-0.008892725132044654,-0.01290335455036421
724.0,1.0,-0.016647647049664167,-0.018810414053107818
724.0,2.0,-0.013348964456927718,-0.010882409504758472
724.0,3.0,-0.007853808670834886,-0.005629693437871095
724.0,4.0,-0.017077357162822975,-0.013853524270313501
824.0,0.0,-0.017675027596921983,-0.01952047593710898
824.0,1.0,-0.03546271181278755,-0.0318554577120194
824.0,2.0,-0.012210584005886685,-0.018724711926239326
824.0,3.0,-0.012911741708852911,-0.008220129059691435
824.0,4.0,-0.024142859368513802,-0.02111915087302358
924.0,0.0,-0.010050730656466823,-0.009915724518591297
924.0,1.0,-0.003274636245232492,-0.004728976265112438
924.0,2.0,-0.01847150828869462,-0.024895291696227156
924.0,3.0,-0.024189638591256665,-0.02490951549703817
924.0,4.0,-0.014093908271232816,-0.015100281696913184
1024.0,0.0,-0.006251769650963776,-0.004948128820177056
1024.0,1.0,-0.007921433051493156,-0.013150595234511654
1024.0,2.0,-0.0070561200568879465,-0.013578013083166616
1024.0,3.0,-0.011822987388107041,-0.0070684242116413176
1024.0,4.0,-0.02860935951101124,-0.026394080546407593
